title,year,rating
A Minecraft Movie,2025,6.5
Final Destination Bloodlines,2025,7.13
The Great Escape,2023,5.0
A Working Man,2025,6.627
Snow White,2025,4.331
Warfare,2025,7.2
Tin Soldier,2025,5.192
Mission: Impossible - The Final Reckoning,2025,7.1
Bambi: A Life in the Woods,2024,6.0
Thunderbolts*,2025,7.5
Exterritorial,2025,6.691
The Haunting at Saint Joseph's,2023,4.6
Last Bullet,2025,6.766
Brave Citizen,2023,7.053
Conjuring the Cult,2024,5.5
In the Lost Lands,2025,6.367
Captain America: Brave New World,2025,6.116
Lilo & Stitch,2025,7.5
From the Shadows,2023,3.1
Havoc,2025,6.531
